olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido,año,campaña_otoño,campaña_primavera,campaña_verano,codigo
0.0,0.0,0.0,0.0,10.0,12.0,7.214285714285714,8.32,9000.0,2.0,570.0,16.2,5.4,1.3,1.0,4.771428571428571,25.0,0.0,100930.0,2022.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,20.0,26.0,4.89,7.75,1200.0,400.0,240.0,3.3,1.8,0.73,0.42,2.7,5.3,0.0,100930.0,2021.0,0.0,0.0,1.0,8.0
0.0,0.0,0.0,0.0,21.4,29.1,4.82,6.82,2000.0,1000.0,200.0,6.199999999999998,0.1,0.35,0.38,3.5,13.0,0.0,367554.0,2021.0,0.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,21.6,19.0,9.0,8.6,34671.42857142857,14716.57142857143,1410.428571428571,3.7,2.2885714285714287,0.7442857142857144,0.6942857142857143,5.457142857142857,193.0,0.0,100930.0,2024.0,0.0,1.0,0.0,9.0
0.0,0.0,0.0,0.0,15.7,13.0,4.82,7.04,80000.0,60000.0,5600.0,2.9,4.3,0.51,0.51,4.8,36.285714285714285,70.0,446949.0,2021.0,1.0,0.0,0.0,32.0
0.0,0.0,0.0,0.0,13.0,16.0,12.39,9.23,29000.0,1000.0,800.0,5.9,0.24,0.22,0.22,4.2,33.0,75.0,358712.0,2021.0,1.0,0.0,0.0,11.0
0.0,0.0,0.0,0.0,14.6,14.0,5.36,7.48,40000.0,5.0,670.0,13.3,2.0,0.34,0.34,5.0,28.0,0.0,367554.0,2022.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,24.4,21.714285714285715,0.8,7.767142857142858,7542.857142857143,6248.571428571428,1054.428571428571,1.4,4.5,0.3071428571428571,0.1928571428571428,6.1571428571428575,17.1,0.0,63997.0,2024.0,0.0,1.0,0.0,22.0
1.0,1.0,0.0,1.0,24.7,31.0,5.07,6.75,6200.0,1400.0,200.0,2.2,1.93,0.21,0.2,2.2,31.0,20.0,446949.0,2021.0,0.0,1.0,0.0,34.0
0.0,0.0,0.0,1.0,23.8,31.0,4.71,6.77,3000.0,2000.0,10.0,2.0,0.3,0.2,0.19,4.142857142857142,33.0,0.0,446949.0,2021.0,0.0,1.0,0.0,33.0
0.0,0.0,0.0,0.0,22.0,20.0,6.59,7.91,700.0,100.0,360.0,2.9,0.049,1.3,0.5,5.0,11.0,0.0,100930.0,2022.0,0.0,0.0,1.0,7.0
1.0,1.0,0.0,0.0,25.2,23.3,2.22,7.45,1400.0,100.0,300.0,7.4,1.0,0.38,0.4,5.8,23.0,0.0,446949.0,2022.0,0.0,0.0,1.0,33.0
0.0,0.0,0.0,1.0,18.0,12.0,7.12,7.22,300.0,1100.0,300.0,6.7,0.13,0.11,0.1,3.571428571428572,60.0,0.0,446949.0,2023.0,1.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,14.8,13.8,9.32,7.81,4000.0,2000.0,1400.0,5.7,0.9,0.3,0.3,9.8,19.885714285714283,220.0,282281.0,2021.0,1.0,0.0,0.0,41.0
0.0,0.0,0.0,1.0,16.0,22.0,8.13,6.91,1500.2857142857142,618.5714285714286,249.7142857142857,3.7,0.92,0.23,0.3314285714285714,3.9,18.0,0.0,633391.0,2023.0,0.0,1.0,0.0,25.0
0.0,0.0,0.0,0.0,22.0,23.0,5.61,7.248571428571428,400.0,400.0,300.0,3.1,0.27,0.19,0.3142857142857142,2.0,14.0,0.0,297282.0,2023.0,0.0,1.0,0.0,28.0
0.0,0.0,0.0,0.0,17.7,21.714285714285715,7.8,7.6,26000.0,10000.0,960.0,10.1,0.77,0.2842857142857143,0.19,6.757142857142858,71.0,0.0,3121707.0,2022.0,1.0,0.0,0.0,14.0
0.0,0.0,0.0,0.0,14.3,8.0,8.57,8.09,500.0,20.0,10.0,8.4,2.2127142857142856,0.23,0.17,3.857142857142857,55.0,0.0,63997.0,2022.0,1.0,0.0,0.0,21.0
0.0,0.0,0.0,0.0,24.2,27.0,3.54,7.76,5000.0,400.0,850.0,13.1,0.049,0.33,0.21,7.4,12.0,0.0,63997.0,2022.0,0.0,0.0,1.0,22.0
0.0,1.0,0.0,0.0,25.5,19.0,0.3,7.3,54614.28571428572,22157.14285714286,1065.7142857142858,5.714285714285714,0.8,0.6528571428571429,0.3385714285714286,5.628571428571429,62.3,0.0,367554.0,2024.0,0.0,1.0,0.0,5.0
0.0,0.0,0.0,0.0,14.0,11.0,9.08,7.59,20000.0,7000.0,800.0,5.2,0.1,0.31,0.32,4.7,16.0,0.0,282281.0,2021.0,0.0,0.0,0.0,40.0
0.0,0.0,0.0,0.0,22.0,22.0,5.55,7.41,2400.0,1800.0,330.0,2.8,1.9,0.27,0.3557142857142857,3.8,13.0,0.0,633391.0,2023.0,0.0,1.0,0.0,24.0
0.0,0.0,0.0,0.0,24.7,27.0,8.57,8.17,100.0,5.0,6.0,6.2,0.61,0.21,0.18,2.1,14.0,0.0,63997.0,2021.0,0.0,1.0,0.0,21.0
0.0,0.0,0.0,0.0,13.6,8.0,12.84,10.02,1600.0,50.0,10.0,4.7,1.2227142857142856,0.4,0.37,5.4,90.0,0.0,63997.0,2022.0,1.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,17.0,14.0,2.28,7.6,420000.0,28000.0,1100.0,3.4,4.8,1.2,0.88,4.414285714285715,13.0,0.0,367554.0,2022.0,1.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,23.0,25.0,6.43,7.02,340.0,220.0,90.0,1.9,4.5685714285714285,0.17,0.1614285714285714,3.6142857142857134,202.0,0.0,446949.0,2024.0,0.0,0.0,1.0,38.0
0.0,0.0,0.0,0.0,16.0,13.0,5.4,7.174285714285714,62000.0,5800.0,2480.0,2.6,1.7,0.3,0.3314285714285714,3.4,12.0,0.0,171616.0,2023.0,0.0,1.0,0.0,27.0
0.0,0.0,0.0,0.0,16.0,7.0,11.05,8.301428571428572,210.0,80.0,90.0,5.9,0.15,0.36,0.21,3.7,31.0,0.0,63997.0,2022.0,0.0,1.0,0.0,20.0
0.0,0.0,0.0,0.0,18.06,16.0,10.39,8.085714285714285,360.0,330.0,100.0,8.5,0.66,0.31,0.31,5.9,25.0,0.0,358712.0,2022.0,0.0,1.0,0.0,11.0
0.0,0.0,0.0,0.0,13.5,13.0,2.17,6.92,76000.0,9.0,780.0,3.3,5.0,0.49,0.49,6.8,6.0,0.0,446949.0,2022.0,0.0,0.0,0.0,34.0
1.0,0.0,0.0,0.0,14.7,14.0,2.3,6.8,30000.0,10000.0,240.0,3.142857142857143,3.0,0.57,0.58,5.0,21.0,0.0,446949.0,2021.0,0.0,0.0,0.0,32.0
0.0,0.0,0.0,0.0,19.25714285714286,17.428571428571427,5.964285714285714,7.957142857142856,600.0,360.0,340.0,4.5,0.3,0.72,0.2142857142857142,2.6,40.0,0.0,63997.0,2023.0,0.0,1.0,0.0,20.0
0.0,0.0,0.0,0.0,13.5,11.0,9.4,7.5,20000.0,3000.0,900.0,5.7,0.3,0.32,0.31,4.0,24.0,0.0,282281.0,2021.0,0.0,0.0,0.0,41.0
0.0,0.0,0.0,0.0,16.0,17.0,9.37,8.01,88000.0,6000.0,1300.0,6.6,0.97,0.27,0.27,8.7,19.485714285714284,210.0,297282.0,2021.0,1.0,0.0,0.0,28.0
0.0,0.0,0.0,0.0,17.8,14.0,4.28,7.42,270000.0,6000.0,300.0,3.9,2.0,0.45,0.42,4.1,45.0,0.0,367554.0,2022.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,12.8,9.0,2.49,8.01,192000.0,60.0,24.0,2.0,22.0,1.2,1.2,18.0,58.02857142857143,0.0,63997.0,2022.0,0.0,0.0,0.0,22.0
0.0,0.0,0.0,0.0,16.1,13.0,5.14,6.93,20000.0,150.0,100.0,12.1,1.9028571428571428,0.43,0.41,4.3,37.0,0.0,633391.0,2022.0,1.0,0.0,0.0,25.0
0.0,0.0,0.0,0.0,23.5,28.0,8.84,7.59,3000.0,100.0,34.0,5.1,1.6,0.32,0.29,5.8,16.0,0.0,633391.0,2021.0,0.0,1.0,0.0,25.0
0.0,0.0,0.0,1.0,20.0,17.0,1.39,7.4,96000.0,44000.0,4200.0,10.8,5.7,0.77,0.73,5.2,2.5,0.0,297282.0,2022.0,1.0,0.0,0.0,29.0
0.0,0.0,0.0,0.0,15.03,14.0,3.09,7.23,120000.0,6.0,660.0,13.0,3.3,0.54,0.54,6.8,25.0,0.0,367554.0,2022.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,27.4,22.2,3.63,7.43,2700.0,2100.0,350.0,10.0,0.049,0.65,0.65,5.2,12.0,0.0,367554.0,2022.0,0.0,0.0,1.0,4.0
0.0,0.0,0.0,0.0,17.0,17.0,17.61,9.98,20000.0,1000.0,800.0,6.2,1.2057142857142855,0.52,0.43,18.0,60.0,0.0,358712.0,2022.0,1.0,0.0,0.0,13.0
0.0,0.0,0.0,0.0,20.228571428571428,12.0,8.48,8.085714285714285,178.0,1171.428571428571,9000.0,6.3,16.0,1.2,1.2,24.0,12.0,0.0,358712.0,2023.0,1.0,0.0,0.0,12.0
0.0,0.0,0.0,0.0,12.9,4.0,9.27,8.04,500.0,100.0,380.0,3.5,2.9,0.28,0.14,6.3,19.0,0.0,63997.0,2021.0,0.0,0.0,0.0,23.0
0.0,0.0,0.0,0.0,21.0,24.0,4.24,7.87,300.0,230.0,85.0,8.0,0.09,0.27,0.2271428571428571,3.9571428571428577,63.6,0.0,63997.0,2024.0,0.0,0.0,1.0,23.0
0.0,0.0,1.0,0.0,18.3,13.0,7.0,7.518571428571428,900.0,800.0,20.0,5.6,0.64,0.76,0.44,4.385714285714285,25.0,0.0,633391.0,2022.0,0.0,1.0,0.0,26.0
0.0,0.0,0.0,0.0,22.0,21.0,8.120000000000001,7.47,1400.0,1200.0,80.0,5.5,0.48,0.32,0.3,4.471428571428572,97.2,0.0,633391.0,2024.0,0.0,0.0,1.0,24.0
1.0,1.0,0.0,1.0,24.5,22.0,1.86,7.11,20000.0,8000.0,1940.0,3.1,6.9,1.5,0.96,4.128571428571428,13.0,0.0,446949.0,2021.0,0.0,0.0,1.0,35.0
0.0,0.0,0.0,0.0,15.18,13.0,1.2,7.48,12000.0,4600.0,1200.0,10.5,10.0,1.4,0.65,7.7,19.0,0.0,367554.0,2023.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,1.0,24.0,19.0,4.85,7.177142857142857,9000.0,6000.0,800.0,2.5,0.37,0.23,0.2971428571428571,5.0,139.0,0.0,171616.0,2024.0,0.0,0.0,1.0,27.0
0.0,0.0,0.0,0.0,18.6,16.0,5.47,6.8,40000.0,10000.0,110.0,3.9,2.781428571428571,0.33,0.29,5.442857142857143,65.0,0.0,446949.0,2022.0,1.0,0.0,0.0,32.0
0.0,0.0,0.0,0.0,22.0,12.857142857142858,5.48,7.55,100.0,100.0,35.0,6.1,0.52,0.15,0.2357142857142857,3.7,17.0,0.0,63997.0,2023.0,0.0,1.0,0.0,22.0
0.0,1.0,0.0,1.0,25.9,24.0,5.28,6.69,15000.0,3200.0,560.0,4.3,1.5,0.44,0.25,3.3,24.0,0.0,446949.0,2023.0,0.0,0.0,1.0,34.0
0.0,0.0,0.0,1.0,15.21,13.0,0.6,7.29,40000.0,10300.0,14000.0,11.0,9.1,0.55,0.53,3.557142857142857,16.0,0.0,258785.8571428572,2023.0,0.0,0.0,0.0,0.0
