codigo,año,campaña,olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido
TI003,2023.0,invierno,1.0,0.0,0.0,0.0,0.3616071428571429,0.24137931034482757,0.31878230901780585,0.3991507430997878,0.015712879589827984,0.04331738862314372,0.06994466170737158,0.6636363636363636,0.15036381856999695,0.09271523178807947,0.17142857142857143,0.10859728506787328,0.16819012797074956,0.0,0.12524143885456762
CA046,2021.0,primavera,0.0,0.0,0.0,0.0,0.7678571428571428,0.5197044334975369,0.4365307294658243,0.5074309978768579,0.1428559183655977,0.37498958315971936,0.024441954296280627,0.2272727272727273,0.1067927323428173,0.0676442762535478,0.05,0.1719457013574661,0.08592321755027423,0.0,0.9999999999999999
BS095,2024.0,verano,1.0,0.0,0.0,1.0,0.5357142857142857,0.5172413793103448,0.43021252153934525,0.6263269639065818,0.2571417959168513,0.8333305555092585,0.4179939420681245,0.14285714285714285,0.06719906384409019,0.1589403973509934,0.589795918367347,0.37944408532643825,0.5001958735962393,0.0,0.012078647092104877
TI006,2024.0,verano,0.0,0.0,0.0,0.0,0.7142857142857144,0.6896551724137931,0.2567489948305572,0.32484076433121034,0.0031414330591900846,0.01665027750462508,0.004940793977241645,0.031818181818181815,0.008322077469391313,0.04966887417218544,0.09081632653061221,0.1066580478345184,0.5658135283363803,0.0,0.12524143885456762
QU062,2022.0,verano,0.0,0.0,0.0,0.0,0.7589285714285714,0.6551724137931034,0.5393452039058012,0.5583864118895967,0.00142714489592128,0.0008166802780046335,0.0004405262113095729,0.2090909090909091,0.0004792819484989762,0.10264900662251658,0.13571428571428568,0.11247575953458303,0.10877513711151737,0.0,0.1862158281851451
BS094,2023.0,primavera,0.0,0.0,0.0,0.0,0.5803571428571429,0.5517241379310345,0.5502584721424468,0.6751592356687899,0.00142714489592128,0.006650110835180587,0.042443025360008914,0.13246753246753246,0.01224347522983748,0.09933774834437087,0.3714285714285714,0.01357466063348417,0.14533820840950643,0.0,0.012078647092104877
SI022,2023.0,otoño,0.0,0.0,0.0,0.0,0.4910714285714286,0.5862068965517242,0.3515221137277427,0.4115862905671823,4.285720408172013e-07,0.004983416390273172,0.006440883232552336,0.19090909090909092,0.03141475316979653,0.023178807947019868,0.028571428571428567,0.1111829347123465,0.09506398537477148,0.0,0.07629402395910664
CA041,2023.0,otoño,0.0,0.0,0.0,0.0,0.5357142857142857,0.5172413793103448,0.11487650775416429,0.46496815286624216,0.00028428612040874344,0.0011500191669861165,0.008941031991403487,0.17402597402597403,0.17214936168358677,0.0737937559129612,0.07142857142857144,0.3212669683257918,0.06764168190127971,0.0,0.9999999999999999
VL032,2024.0,primavera,0.0,0.0,0.0,0.0,0.8080357142857144,0.6310344827586207,0.24124066628374502,0.4437367303609343,0.020059824575259597,0.03498391639860665,0.1392344987383892,0.08636363636363635,0.01965055988845802,0.1348155156102176,0.1642857142857143,0.11506140917905625,0.11654478976234002,0.0,0.07138806492440421
VL033,2021.0,otoño,0.0,0.0,0.0,0.0,0.3571428571428572,0.33793103448275863,0.5634692705341757,0.4840764331210192,0.008570012242874632,0.01665027750462508,0.04144296585646846,0.21363636363636362,0.03707899437932988,0.09271523178807947,0.18571428571428567,0.3167420814479638,0.07253852180726039,0.7352941176470588,0.07138806492440421
BS092,2021.0,primavera,0.0,0.0,0.0,1.0,0.13392857142857145,0.5172413793103448,0.4595060310166571,0.5732484076433122,0.057141510202157436,0.008316805280088001,0.0005405321616636189,0.10909090909090909,0.13293538407912509,0.337748344370861,0.10714285714285714,0.22171945701357462,0.05393053016453382,0.0,0.012078647092104877
