codigo,año,campaña,olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido
CA046,2023.0,otoño,0.0,0.0,0.0,0.0,-0.32034069409791316,-0.06902464359817553,0.44403937207794536,-0.19326082179783213,-0.4081216818749502,-0.40837115131311724,1.6603027394961496,-0.2699607132617095,-0.37291129522434074,-0.8627790279031602,-0.9947812899007645,0.9622262592653131,0.07314020848463383,-0.23814620876225992,3.7274102215007696
TI004,2022.0,verano,0.0,1.0,0.0,1.0,0.9418183300898748,0.2594390437430689,-1.8769342164471698,-1.6584329522550798,-0.3897645586554457,-0.4025282574571571,-0.3094885372583446,0.6876778803325649,-0.6334200717518104,0.04574421492933739,0.6604914766061069,-0.9000686973241762,-0.5971548534231735,-0.23814620876225992,-0.06946357872759136
BZ080,2022.0,primavera,0.0,0.0,0.0,0.0,-0.17550277328947866,-1.054415705621909,0.7756070275815331,0.8014812186823344,-0.398255364954939,-0.3736744606376008,-0.347886028033286,-0.029667634426245794,-0.5810734198291344,-0.04988981063197823,-0.34138414522699956,0.18353365776945643,-0.10966753567204092,-0.23814620876225992,-0.19471780864698962
AV053,2022.0,invierno,0.0,0.0,0.0,0.0,-0.6100165357147822,-0.7259520182806645,-0.3460792963561363,0.18391220188423105,1.1538640265924356,-0.40930889970975287,-0.2173345593984852,1.1823989249938138,0.6066751735040997,-0.6236939639998714,-0.5156233838066702,0.3805522677864804,-0.7494946402204026,-0.23814620876225992,-0.18216640842999088
BZ078,2021.0,primavera,0.0,0.0,0.0,0.0,1.5418611448676753,1.4911778712727357,2.2253336915387107,2.3889237249486017,-0.3065546569204114,-0.30875341779359905,-0.41316176235068636,-0.0791397388923707,-0.37597250293911705,0.523914342735915,0.8782905248306948,0.13662446490826038,0.9871789292680075,0.129427483703286,-0.19471780864698962
EN081,2022.0,verano,1.0,1.0,1.0,1.0,0.7969804092814395,1.4090619494374246,1.4105238147160635,2.3599104154345976,-0.38806639739554705,-0.4025282574571571,-0.4362002568156512,-0.20282000005768291,-0.6300527432655564,-0.33679188731592485,-0.03646547771257591,-0.2105035622645918,0.8348391424707786,-0.23814620876225992,-0.6130717913378728
TI002,2023.0,primavera,0.0,0.0,0.0,0.0,1.3349498294270543,1.08059826209618,-0.7164474221846124,-1.1942200000310013,-0.3405178821183846,-0.3664610114327117,-0.29796929002586214,-0.8212213058842438,-0.03617844659893928,-0.6476024703902004,-0.11736226705313753,-0.7687229573128268,-0.7494946402204026,-0.23814620876225992,-0.06946357872759136
BS095,2022.0,primavera,0.0,1.0,0.0,1.0,-1.9756312176228807,-1.054415705621909,0.11599903205843824,0.8470735622043404,0.9500846754045966,5.361017657249219,4.156139639867341,-0.20282000005768291,-0.28107506378104946,0.48975933360687357,0.007094331932341787,0.6666983442397771,-0.5910612619512845,-0.23814620876225992,-0.5606446408951659
AV051,2023.0,primavera,0.0,0.0,0.0,0.0,0.7142158831051915,0.5879027310843135,0.020761513988258876,-0.20776747655483555,-0.39995352621483765,-0.3736744606376008,-0.3939630169632157,-0.771749201418119,-0.06679052374670308,-0.5758769512192138,-0.04268830766185018,-0.24333999726742933,-0.2315393651098241,-0.23814620876225992,-0.18216640842999088
TI001,2022.0,invierno,0.0,0.0,0.0,0.0,-1.1893682189485209,-0.7259520182806645,0.8002982359700983,-0.6864870835359163,-0.393160881175243,-0.40397094729813493,-0.41700151142818054,-0.9696376192826185,6.392357754431452,-0.934504547074147,-1.0819009091905998,-0.5670134280096832,-0.4752830239853904,-0.23814620876225992,-0.06946357872759136
