codigo,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,ica,Poblacion_partido,Personas_con_cloacas
SI022,2021.0,primavera,25.0,32.0,6.4,7.4,0.0,0.0,0.0,0.0,15000.0,2400.0,290.0,3.4,2.1,0.31,0.27,2.8,11.0,,42.0,297282.0,275528.0
SI023,2021.0,verano,28.0,28.0,3.6,7.67,0.0,0.0,0.0,1.0,40000.0,37000.0,4800.0,2.8,4.2,0.86,0.53,4.8,5.2,,33.0,297282.0,275528.0
SI023,2021.0,otoño,18.0,17.0,3.29,7.42,0.0,0.0,0.0,0.0,15000.0,12000.0,2000.0,22.1,5.0,0.51,0.51,4.3,,6.9,38.0,297282.0,275528.0
SI023,2021.0,invierno,17.0,14.0,4.07,7.27,0.0,0.0,0.0,0.0,80000.0,5000.0,2800.0,21.0,1.6,0.41,0.45,4.1,9.0,,36.0,297282.0,275528.0
SI023,2021.0,primavera,26.0,32.5,5.9,7.3,0.0,0.0,0.0,0.0,5000.0,2000.0,450.0,9.0,0.6,0.36,0.32,3.1,9.4,,46.0,297282.0,275528.0
SI024,2021.0,verano,27.0,28.0,5.66,7.82,0.0,0.0,0.0,1.0,7600.0,7000.0,270.0,5.5,0.37,0.56,0.34,,35.0,,42.0,297282.0,275528.0
SI024,2021.0,otoño,15.0,16.0,9.44,7.99,0.0,0.0,0.0,0.0,2500.0,2000.0,100.0,6.2,0.82,0.36,0.36,13.0,,340.0,48.0,297282.0,275528.0
SI024,2021.0,invierno,15.7,14.5,8.14,7.03,0.0,0.0,0.0,0.0,14000.0,4400.0,700.0,5.4,0.5,0.35,0.37,5.5,23.0,,41.0,297282.0,275528.0
SI024,2021.0,primavera,27.5,32.0,7.19,7.55,0.0,0.0,0.0,0.0,4000.0,300.0,30.0,5.6,0.1,0.31,0.3,,7.6,,54.0,297282.0,275528.0
TI001,2021.0,verano,25.6,27.0,3.91,6.96,0.0,0.0,0.0,1.0,4000.0,1000.0,330.0,6.5,0.4,0.92,0.37,,60.0,,42.0,446949.0,144834.0
TI001,2021.0,otoño,15.6,13.0,8.28,6.79,0.0,0.0,0.0,0.0,4000.0,200.0,50.0,3.0,0.98,0.2,0.2,4.1,,110.0,48.0,446949.0,144834.0
TI001,2021.0,invierno,14.8,13.0,9.9,7.09,0.0,0.0,0.0,0.0,1000.0,200.0,68.0,2.1,1.1,,,,27.0,,64.0,446949.0,144834.0
TI001,2021.0,primavera,24.4,29.0,7.28,6.91,0.0,0.0,0.0,1.0,400.0,200.0,65.0,2.7,0.44,0.27,0.12,,45.0,,55.0,446949.0,144834.0
